"","data_source","signal","geo_value","time_value","issue","lag","value","stderr","sample_size"
"167","fb-survey","smoothed_cli","id",2020-05-04,2020-09-03,122,0.5416518,0.1058036,3787.972
"168","fb-survey","smoothed_cli","il",2020-05-04,2020-09-03,122,0.4979621,0.0380168,25485.0226
"169","fb-survey","smoothed_cli","in",2020-05-04,2020-09-03,122,0.6038482,0.0602745,11317.0012
"170","fb-survey","smoothed_cli","ks",2020-05-04,2020-09-03,122,0.5106633,0.0783519,5477.9147
"171","fb-survey","smoothed_cli","ky",2020-05-04,2020-09-03,122,0.4004805,0.0611827,7165.7014
"172","fb-survey","smoothed_cli","la",2020-05-04,2020-09-03,122,0.5168111,0.0646088,8661.5501
"173","fb-survey","smoothed_cli","ma",2020-05-04,2020-09-03,122,0.3994104,0.0577413,9061.037
"174","fb-survey","smoothed_cli","md",2020-05-04,2020-09-03,122,0.539703,0.0790704,6453.9896
"175","fb-survey","smoothed_cli","me",2020-05-04,2020-09-03,122,0.416409,0.0910128,3927
"176","fb-survey","smoothed_cli","mi",2020-05-04,2020-09-03,122,0.4164744,0.0326897,28219.0391
"177","fb-survey","smoothed_cli","mn",2020-05-04,2020-09-03,122,0.5206721,0.0687305,8171.9669
"178","fb-survey","smoothed_cli","mo",2020-05-04,2020-09-03,122,0.5418512,0.0675134,8357.7134
"179","fb-survey","smoothed_cli","ms",2020-05-04,2020-09-03,122,0.5054601,0.0791139,5161.0377
"180","fb-survey","smoothed_cli","mt",2020-05-04,2020-09-03,122,0.6453007,0.1454664,2643.4012
"181","fb-survey","smoothed_cli","nc",2020-05-04,2020-09-03,122,0.4325697,0.0404474,19940.0254
"182","fb-survey","smoothed_cli","nd",2020-05-04,2020-09-03,122,0.4970155,0.158694,1621.7275
"183","fb-survey","smoothed_cli","ne",2020-05-04,2020-09-03,122,0.3377239,0.0731649,4110.5276
"184","fb-survey","smoothed_cli","nh",2020-05-04,2020-09-03,122,0.5356654,0.0991726,3803
"185","fb-survey","smoothed_cli","nj",2020-05-04,2020-09-03,122,0.6496079,0.0600216,12693.9962
"186","fb-survey","smoothed_cli","nm",2020-05-04,2020-09-03,122,0.5961053,0.1234536,3097.3691
"187","fb-survey","smoothed_cli","nv",2020-05-04,2020-09-03,122,0.4568347,0.0948043,3759.7646
"188","fb-survey","smoothed_cli","ny",2020-05-04,2020-09-03,122,0.5247164,0.0347026,31995.0008
"189","fb-survey","smoothed_cli","oh",2020-05-04,2020-09-03,122,0.4542892,0.0370959,24384.0051
"190","fb-survey","smoothed_cli","ok",2020-05-04,2020-09-03,122,0.4586448,0.071882,6794.2212
"191","fb-survey","smoothed_cli","or",2020-05-04,2020-09-03,122,0.4922432,0.0702244,7243.4847
"192","fb-survey","smoothed_cli","pa",2020-05-04,2020-09-03,122,0.3575011,0.0298407,30419.0163
"193","fb-survey","smoothed_cli","ri",2020-05-04,2020-09-03,122,0.4141205,0.1188616,2289.963
"194","fb-survey","smoothed_cli","sc",2020-05-04,2020-09-03,122,0.4077805,0.0501168,11019.0074
